libbz2-1.dll: LICENSE-bzip2
libcrosstex.dll: LICENSE-crosstex
libfreetype-6.dll: LICENSE-freetype
libgcc_s_seh-1.dll: LICENSE-GCC-runtime
libglib-2.0-0.dll: LICENSE-LGPLv2
libgraphite2.dll: LICENSE-LGPLv2
libharfbuzz-0.dll: LICENSE-harfbuzz
libiconv-2.dll: LICENS-LGPLv2
libicudt58.dll: LICENSE-UNICODE
libicuin58.dll: LICENSE-UNICODE
libicuuc58.dll: LICENSE-UNICODE
libintl-8.dll: LICENSE-GPLv2
liblz4.dll: LICENSE-lz4
libpcre-1.dll: LICENSE-pcre
libpcre2-16-0.dll: LICENSE-pcre
libpng16-16.dll: LICENSE-libpng
libsaints.dll: LICENSE-LGPLv3
libstdc++-6.dll: LICENSE-GCC-runtime
libwinpthread-1.dll: LICENSE-mingw-w64-runtime
Qt5Core.dll: LICENSE-LGPLv3
Qt5Gui.dll: LICENSE-LGPLv3
Qt5Svg.dll: LICENSE-LGPLv3
Qt5Widgets.dll: LICENSE-LGPLv3
zlib1.dll: LICENSE-zlib
saintspack.exe: LICENSE-GPLv3
saintspackgui.exe: LICENSE-GPLv3
saintspeg.exe: LICENSE-GPLv3
